Index,Girth,Height,Volume,PlaceId
1,8.3,70,10.3,1
2,8.6,65,10.3,3
3,8.8,63,10.2,3
4,10.5,72,16.4,2
5,10.7,81,18.8,4
6,10.8,83,19.7,1
7,11,66,15.6,4
8,11,75,18.2,1
9,11.1,80,22.6,2
10,11.2,75,19.9,3
11,11.3,79,24.2,2
12,11.4,76,21,2
13,11.4,76,21.4,1
14,11.7,69,21.3,3
15,12,75,19.1,4
16,12.9,74,22.2,5
17,12.9,85,33.8,4
18,13.3,86,27.4,2
19,13.7,71,25.7,1
20,13.8,64,24.9,3
21,14,78,34.5,2
22,14.2,80,31.7,2
23,14.5,74,36.3,3
24,16,72,38.3,4
25,16.3,77,42.6,4
26,17.3,81,55.4,2
27,17.5,82,55.7,1
28,17.9,80,58.3,1
29,18,80,51.5,5
30,18,80,51,2
31,20.6,87,77,1
